Date,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Low,Sum,,wind avg,wind avg mph,Direction
3/30/2021,73.4 °F,65.4 °F,55.4 °F,29.2 °F,17.5 °F,5.5 °F,33%,17%,10%,23,12.1,0,30.06 in,,,,12.1,12.1,NW
3/1/2020,58.7 °F,52.3 °F,46.9 °F,36.4 °F,30.3 °F,23.1 °F,55%,43%,29%,21,10,0,29.87 in,29.68 in,0.00 in,,10,10,ESE
3/2/2020,63.2 °F,55.1 °F,47.4 °F,27.7 °F,19.7 °F,13.9 °F,46%,26%,17%,20,5.5,0,29.95 in,29.84 in,0.00 in,,5.5,5.5,ESE
3/3/2020,75.2 °F,60.3 °F,48.8 °F,31.7 °F,25.6 °F,15.8 °F,39%,27%,20%,1,0,0,29.99 in,29.86 in,0.00 in,,0,0,WSW
3/4/2020,77.3 °F,58.6 °F,40.1 °F,35.4 °F,30.3 °F,25.6 °F,56%,36%,20%,1,0,0,30.09 in,29.96 in,0.00 in,,0,0,WNW
3/5/2020,78.4 °F,60.9 °F,42.8 °F,37.5 °F,33.4 °F,27.6 °F,65%,39%,20%,1,0,0,30.16 in,29.96 in,0.00 in,,0,0,WNW
3/6/2020,75.9 °F,60.9 °F,43.8 °F,42.2 °F,33.7 °F,26.8 °F,52%,37%,24%,13,1.4,0,30.00 in,29.77 in,0.00 in,,1.4,1.4,SW
3/7/2020,61.9 °F,55.0 °F,46.6 °F,38.2 °F,34.9 °F,27.8 °F,65%,47%,34%,21,9.9,0,29.86 in,29.72 in,0.00 in,,9.9,9.9,SSW
3/8/2020,61.9 °F,51.0 °F,39.3 °F,36.5 °F,34.2 °F,30.6 °F,76%,54%,32%,16,3.6,0,29.99 in,29.85 in,0.00 in,,3.6,3.6,SSW
3/9/2020,64.7 °F,54.0 °F,39.7 °F,35.1 °F,31.7 °F,26.1 °F,59%,43%,33%,1,0,0,30.09 in,29.97 in,0.00 in,,0,0,WSW
3/10/2020,60.3 °F,55.3 °F,51.4 °F,48.2 °F,43.1 °F,29.7 °F,84%,65%,34%,0,0,0,30.06 in,29.94 in,0.30 in,,0,0,E
3/11/2020,67.6 °F,58.0 °F,51.9 °F,48.4 °F,45.6 °F,43.1 °F,74%,64%,45%,0,0,0,30.02 in,29.86 in,0.30 in,,0,0,ESE
3/12/2020,67.9 °F,56.7 °F,48.1 °F,46.3 °F,42.9 °F,38.9 °F,86%,62%,36%,18,0.5,0,29.90 in,29.61 in,0.35 in,,0.5,0.5,SSW
3/13/2020,61.6 °F,54.7 °F,47.9 °F,48.9 °F,45.4 °F,42.4 °F,86%,71%,61%,20,12.5,0,29.86 in,29.72 in,0.38 in,,12.5,12.5,SSW
