num (ignore),Avg windspeed,windSpeed,Direction,windTurbulence,deploymentTime,,simTime,posEast,posNorth,altitude,longitude,latitude,max altitude,deploymentVelocity,groundspeedVelocity
53,2.226332736,0,49.55350317,0,67.5786972,,831.6469538,7711.323018,-1733.592621,627,118.0846441,34.98438005,24264.44509,83.15485877,12.00477548
54,0.002025923,0,237.5576829,0,68.56119586,,830.9149544,-1263.548273,1408.228874,627,117.9861257,35.01266372,24172.10309,82.80068775,11.9816507
55,1.519936,0,213.5750922,0,72.51018492,,830.0561561,5405.829342,1150.984776,627,118.0593564,35.01033661,24235.26842,82.68063367,11.98150194
56,1.076686266,0,208.2387927,0,73.93993877,,830.3573822,7377.340834,1756.510394,627,118.0810092,35.01576977,24312.77314,83.9441317,12.00508905
57,1.870072599,0,261.1419711,0,73.59593068,,830.0548833,6724.661845,144.8433188,627,118.0738291,35.00128026,24332.16801,82.6802217,11.98105235
58,5.602573015,0,239.6888531,0,67.61093994,,830.8443602,3183.146973,-84.18835187,627,118.0349465,34.99923787,24228.90396,82.2852562,11.98139118
59,1.053478154,0,323.5592949,0,67.02300945,,830.5851273,6759.144192,-1307.53555,627,118.0741959,34.98821848,24165.66509,82.54968417,11.98298989
60,4.485301333,0,243.6569902,0,69.30050631,,831.5197995,4512.252016,-1025.349099,627,118.049533,34.99076875,24304.42099,83.65966181,11.98122077
61,2.426216469,0,226.4884829,0,70.45039502,,831.1081218,3767.680666,448.7088521,627,118.0413662,35.00402832,24234.53845,82.00515736,11.98210874
62,1.390059038,0,293.8890869,0,67.99743653,,831.9311184,3328.441611,-162.6134498,627,118.0365413,34.99853211,24243.84296,82.92790209,12.00488595
63,4.16183064,0,223.1497399,0,69.24783353,,832.2804917,4775.836429,3603.273397,627,118.0524532,35.03239374,24218.90219,83.77672176,11.98142118
64,4.319982943,0,249.3028732,0,73.01781794,,831.801056,3988.029107,203.7225853,627,118.0437843,35.00182426,24283.35358,83.20277898,11.98124741
65,3.060028198,0,211.7796923,0,73.1935104,,829.7583098,1675.021866,1413.482606,627,118.0183924,35.01271037,24175.15191,82.41310073,11.98193775
66,3.68808,0,224.6066984,0,70.7231873,,830.372769,2789.602453,-1958.323622,627,118.0306196,34.98238453,24275.39029,82.61441232,11.97884827
67,4.304224735,0,83.0490121,0,71.10589198,,830.4225634,2628.418135,-1661.907837,627,118.0288513,34.98505069,24150.51191,82.7668086,11.98225358
68,3.367701333,0,227.2836219,0,71.28278372,,836.3623475,3353.694103,-202.0384152,627,118.0368183,34.99817747,24182.66439,84.00741829,11.98189495
69,1.079440211,0,210.0739871,0,70.19794738,,833.1798994,4248.494097,-623.3829231,627,118.0466397,34.99438486,24301.76556,82.13417423,11.98120105
70,9.074912,0,49.86083832,0,73.54724418,,830.5057191,2319.63143,2322.835036,627,118.025473,35.0208871,24309.94811,84.8654984,11.98135242
71,0.655563207,0,75.78236377,0,68.14570984,,832.4433594,3182.856269,295.9888341,627,118.0349447,35.00265688,24242.90644,82.62025916,11.98311262
72,2.440923606,0,248.0006708,0,73.10663609,,830.8025583,2385.769074,-33.4296842,627,118.0261925,34.99969655,24277.52409,83.87588167,11.979757
73,1.88429168,0,207.731417,0,73.6345799,,831.930171,555.1521645,-984.6731081,627,118.0060942,34.99114447,24105.35591,82.63867693,11.98130734
74,3.755136,0,189.9399729,0,73.49975395,,830.4905247,7488.629523,-694.9711601,627,118.082209,34.99372226,24332.59534,82.57902069,11.98168643
75,5.185664,0,231.6888653,0,72.7407867,,830.8491235,3797.161921,2313.560055,627,118.0416985,35.02079922,24229.11919,83.85459987,11.98161156
76,5.141659929,0,199.1297388,0,72.58681942,,830.7118249,380.0256159,117.0554844,627,118.0041722,35.00105263,24179.38221,89.63476156,11.98669095
77,4.06E+00,0,227.9261262,0,68.00501354,,831.1715613,1539.106365,1469.02668,627,118.0169001,35.0132101,24217.75839,81.76679881,11.98089495
78,0.67498951,0,261.5044299,0,71.50994867,,831.1817565,3935.241294,1457.364345,627,118.0432107,35.01309874,24298.21385,82.67439965,11.98378091
79,5.616115263,0,242.4831359,0,68.62149869,,829.8570973,3332.133128,-841.5518313,627,118.0365791,34.99242626,24193.7322,82.6732493,11.98170578
80,2.219368666,0,251.5421425,0,67.86391637,,830.2591965,6318.747564,-481.5623059,627,118.0693679,34.99564948,24290.70895,82.72466052,11.98702746
81,9.298432,0,228.2467058,0,71.28819496,,836.1678469,2852.302782,-109.4597605,627,118.0313142,34.99901158,24112.12326,83.2043433,11.98409674
82,5.185664,0,320.2107807,0,68.55593795,,831.1352522,6417.030855,-464.2183632,627,118.070447,34.99580484,24312.87566,82.9570026,11.9829439
83,2.61372665,0,205.6618766,0,72.009194,,832.5785297,2550.151362,-32.34821002,627,118.0279972,34.99970587,24259.34529,83.73543674,11.98113719
84,8.314944,0,234.6995211,0,72.92259626,,830.7262391,5854.738425,297.6297389,627,118.0642794,35.00265971,24320.8296,82.46138874,11.97981092
85,4.485301333,0,216.7383031,0,67.40510992,,830.7278647,6540.438296,551.1615623,627,118.0718098,35.00493557,24342.3436,82.73518291,11.98237153
86,1.421049792,0,202.7420629,0,68.52297892,,833.0999027,1311.897757,-233.2037994,627,118.0144025,34.9979019,24246.08384,82.56145688,11.98172445
87,2.031515165,0,225.4712609,0,73.84408801,,831.9528932,6869.575985,-1102.287777,627,118.0754098,34.99006357,24191.75772,82.92083378,11.98367825
88,0.841595631,0,247.4078767,0,71.3710151,,832.0599548,4393.221873,-2790.519267,627,118.048217,34.97489472,24219.82021,82.32628304,11.98598024
89,0.019142411,0,62.32227323,0,67.25733858,,831.0521268,6031.218534,-832.3971082,627,118.0662088,34.9924961,24263.92994,83.35261163,11.98056902
90,2.184375378,0,215.881599,0,73.39147169,,830.7724323,2934.654628,2668.988663,627,118.0322281,35.02399853,24283.23922,82.23927244,11.98090411
91,6.645994667,0,204.3969021,0,71.72845023,,829.3793349,2889.197409,-195.3272207,627,118.0317189,34.99823925,24318.79988,82.25551102,11.98574581
92,5.945632,0,213.2909861,0,67.47079229,,829.8064834,3704.249537,1512.806505,627,118.0406746,35.01359821,24194.82356,83.14792123,11.98239227
93,1.619129706,0,81.96577909,0,69.5532443,,831.0968059,5806.748087,752.073852,627,118.0637557,35.0067469,24283.51022,83.01952776,11.98219173
94,4.671568,0,252.4370213,0,69.46674364,,830.5819299,3295.554766,-91.56017927,627,118.0361805,34.99917121,24233.55581,82.39370712,11.98587327
95,0.678829085,0,235.5928416,0,70.2427052,,829.2136168,2307.514404,-1590.899017,627,118.0253291,34.98569007,24162.4953,82.83292032,11.9811548
96,0.674290718,0,310.5540566,0,67.9836358,,829.7381148,3686.304776,3279.150646,627,118.0404854,35.02948339,24303.49684,82.87529131,11.98043439
97,1.404820491,0,220.6592882,0,69.99982847,,831.6142575,3672.659404,-174.2215823,627,118.0403202,34.99842652,24274.80334,82.80517183,11.98180233
98,2.61372665,0,239.2130543,0,73.1097645,,830.5404608,5521.74119,1351.151541,627,118.0606305,35.01213613,24342.28319,86.12926875,11.98040858
99,5.742474672,0,219.8102513,0,73.23445415,,830.3748102,7216.872257,976.7331436,627,118.0792403,35.00875823,24340.97031,82.49747814,11.97830611
0,1.389044828,0,94.83122212,0,69.60342684,,830.2434898,7069.709022,1934.686746,627,118.0776326,35.01737435,24264.00103,82.50474345,11.9822492
1,7.174992,0,220.9525532,0,73.44754486,,830.8424754,4191.717551,-640.5570027,627,118.0460163,34.99423065,24360.96931,82.54998111,11.98150342
2,1.730313791,0,213.4118061,0,67.83989244,,831.0880661,2435.095146,1828.586682,627,118.0267395,35.01644194,24333.49515,82.57285999,11.98111492
3,5.337443664,0,179.331883,0,70.95918656,,830.786689,827.3014207,2417.320858,627,118.0090851,35.02173915,24164.77848,82.91996558,11.98273057
4,5.295665534,0,205.3934383,0,71.93548245,,830.4610703,2208.956623,1196.439676,627,118.0242546,35.01075743,24222.77964,82.60618774,11.98173536
5,2.369312,0,39.1280258,0,72.41019404,,830.4596623,2698.623778,667.96428,627,118.0296295,35.00600355,24284.95363,83.8009232,11.97542369
6,5.033054622,0,152.0578686,0,68.4358012,,830.2803448,4423.070356,1121.026732,627,118.0485655,35.01007197,24318.09701,83.12809165,11.98189595
7,4.902538667,0,205.0261584,0,73.69563228,,830.068093,4167.765743,683.3717773,627,118.04576,35.00613712,24252.41643,82.69315768,11.98277115
8,4.416904818,0,182.1892184,0,73.95925717,,830.2035592,2320.839043,-1109.307653,627,118.0254767,34.9900211,24223.20465,82.77451634,11.98399766
9,0.853898136,0,343.8942975,0,73.95287351,,830.2395636,3905.487289,-1190.220008,627,118.0428715,34.98928856,24297.82164,82.48821408,11.9812886
10,7.584778667,0,208.1178534,0,71.82009529,,830.7913147,5957.952966,488.2921666,627,118.065414,35.00437377,24318.79048,84.49761673,11.98349634
11,9.088467299,0,89.50405547,0,71.35491382,,831.2581315,3755.92254,-187.2924023,627,118.0412343,34.99830867,24239.34938,83.22409048,11.9823594
12,1.715187622,0,212.7549372,0,72.48416247,,832.9685633,7521.311549,-885.811415,627,118.0825661,34.99200575,24275.17018,83.09115439,11.97887463
13,1.402348124,0,220.9555601,0,73.23133267,,831.8249432,3731.479086,1267.961209,627,118.0409725,35.01139617,24322.12269,83.39448962,11.98173681
14,10.326624,0,233.336796,0,70.04478113,,832.2992263,3274.782937,1169.052302,627,118.0359574,35.01050824,24185.1096,80.95096307,11.98101831
15,3.367701333,0,210.3144701,0,71.36955227,,830.656524,9159.414765,-1606.361547,627,118.1005406,34.98551219,24295.0087,82.74301253,11.98178902
16,2.437547743,0,194.8397714,0,72.53586794,,830.5323999,1317.344894,283.9229349,627,118.0144632,35.00255252,24253.93244,83.64136124,11.98267029
17,2.192921791,0,349.5889594,0,73.67158934,,830.6621229,6880.161084,-1038.615624,627,118.0755265,34.99063612,24350.29232,84.77392351,11.98107632
