num (ignore),Avg windspeed,windSpeed,Direction,windTurbulence,deploymentTime,,simTime,posEast,posNorth,altitude,longitude,latitude,max altitude,deploymentVelocity,groundspeedVelocity
291,4.485301333,0,267.2711734,0,69.67632343,,850.0727479,2932.763697,1101.475504,0,-80.56995389,28.6199025,22770.42468,79.35386595,11.62264118
292,2.171266118,0,284.5658867,0,70.77366086,,849.7676368,6958.82023,-451.0480098,0,-80.52871649,28.60592499,22805.7012,88.00915722,11.62263526
293,5.048824431,0,175.9981317,0,70.00129161,,848.4805056,6213.064255,-104.4087125,0,-80.53635384,28.60904617,22799.46107,79.08551958,11.62263632
294,3.069652833,0,240.2671359,0,68.03766485,,852.4973124,5250.197998,1602.685787,0,-80.54620951,28.62440268,22681.83785,79.32387559,11.62264326
295,2.996771208,0,237.6904061,0,72.35481058,,850.2405536,6437.044587,1908.58155,0,-80.53404804,28.62714833,22790.73289,79.35170445,11.62264476
296,5.114599801,0,216.7245742,0,70.788148,,849.0665944,5955.06773,439.7673921,0,-80.5389939,28.61394127,22822.15369,80.90696074,11.62263864
297,5.997632626,0,223.0443533,0,72.22879682,,850.52096,2710.989389,3629.636388,0,-80.57221995,28.64263927,22804.215,82.92464682,11.62265176
298,5.147512829,0,280.0687954,0,70.46668603,,848.868117,6955.27445,929.6621015,0,-80.52874439,28.61834203,22813.07971,78.87968782,11.62264085
299,0.03172657022,0,295.6236469,0,70.17993572,,848.4367361,6199.708439,-769.8151102,0,-80.53649428,28.60306209,22798.83101,78.70865089,11.62263379
300,0.7051470012,0,217.245186,0,72.94610163,,848.1444063,8101.125327,-443.6791843,0,-80.5170151,28.60598463,22729.6345,79.86119183,11.62263501
301,1.277651562,0,180.4894643,0,70.7499524,,848.1718893,6653.337378,2337.665724,0,-80.53182946,28.63100608,22838.95399,78.47051567,11.62264618
302,7.972213333,0,206.5721108,0,72.8537138,,847.7393898,8974.843129,922.239836,0,-80.50805432,28.61826289,22841.76032,79.05360417,11.62264081
303,0.22352,0,317.1643567,0,72.21114185,,848.937377,9075.59789,-1533.223989,0,-80.50704164,28.59617969,22759.35611,80.30596075,11.62263042
